Epoch,LR,Loss_Total,Loss_CASSI,Loss_RGB,Val_PSNR,Val_SSIM,Val_SAM,Duration_Sec
294,0.001000,0.026841,0.023384,0.000225,27.5119,0.7104,21.5934,10.24
295,0.001000,0.027507,0.024092,0.000223,27.3778,0.6991,24.0621,10.20
296,0.001000,0.029105,0.025266,0.000250,27.4462,0.6979,26.2167,10.22
297,0.001000,0.046507,0.041912,0.000300,26.5095,0.6856,26.8200,10.20
298,0.001000,0.051691,0.046975,0.000308,26.6172,0.6831,25.2586,10.14
299,0.001000,0.033228,0.029647,0.000234,26.8930,0.6962,23.4933,9.98
300,0.000200,0.029511,0.026232,0.000215,27.0945,0.6955,23.9800,9.95
301,0.000200,0.023778,0.020975,0.000184,27.5578,0.7038,22.9811,10.15
302,0.000200,0.021969,0.019238,0.000179,27.7116,0.7149,21.5956,10.62
303,0.000200,0.021157,0.018542,0.000172,27.6801,0.7164,21.4743,10.20
304,0.000200,0.021617,0.018818,0.000184,27.7028,0.7178,21.8312,10.14
305,0.000200,0.020890,0.018275,0.000172,27.7582,0.7209,21.2753,9.83
306,0.000200,0.020698,0.018087,0.000172,27.7839,0.7211,21.0148,9.86
307,0.000200,0.021111,0.018407,0.000178,27.7260,0.7218,21.3442,10.24
308,0.000200,0.019893,0.017422,0.000163,27.8441,0.7230,21.0097,10.03
309,0.000200,0.019929,0.017430,0.000165,27.7261,0.7209,21.5707,10.13
310,0.000200,0.020268,0.017756,0.000166,27.8393,0.7237,21.0163,10.00
311,0.000200,0.019516,0.017072,0.000162,27.8060,0.7228,21.0989,10.12
312,0.000200,0.020091,0.017613,0.000164,27.8226,0.7238,21.0162,10.17
313,0.000200,0.019850,0.017427,0.000161,27.8112,0.7240,21.0343,10.17
314,0.000200,0.019801,0.017339,0.000164,27.8558,0.7248,21.0352,10.42
315,0.000200,0.019202,0.016834,0.000158,27.8212,0.7240,21.2227,12.33
316,0.000200,0.019359,0.016939,0.000161,27.9075,0.7255,20.9382,12.02
317,0.000200,0.019663,0.017206,0.000164,27.8765,0.7246,20.8286,12.34
318,0.000200,0.020132,0.017614,0.000168,27.8669,0.7250,21.0065,12.21
319,0.000200,0.019411,0.017046,0.000158,27.8842,0.7260,20.8733,11.85
320,0.000200,0.019898,0.017418,0.000166,27.9226,0.7245,20.7488,12.03
321,0.000200,0.020017,0.017545,0.000166,27.8198,0.7250,21.3031,12.22
322,0.000200,0.019853,0.017421,0.000163,27.8776,0.7246,20.9614,12.02
323,0.000200,0.019493,0.017080,0.000162,27.8953,0.7272,20.8106,12.24
324,0.000200,0.019155,0.016790,0.000159,27.9276,0.7265,20.8484,12.17
325,0.000200,0.018911,0.016581,0.000157,27.8463,0.7261,21.2709,11.98
326,0.000200,0.019501,0.017095,0.000162,27.9312,0.7269,20.8658,12.03
327,0.000200,0.019503,0.017047,0.000166,27.9159,0.7270,20.9356,11.89
328,0.000200,0.019551,0.017184,0.000160,27.9150,0.7281,20.7942,11.98
329,0.000200,0.019108,0.016755,0.000159,27.9270,0.7273,21.0331,11.95
330,0.000200,0.019712,0.017213,0.000169,27.8530,0.7265,21.2752,12.04
331,0.000200,0.019821,0.017347,0.000168,27.9289,0.7275,20.8515,11.85
